Resultados
Almeria-At.Bilbao
"Almeria-1;Almeria-8;Almeria-23:Almeria-7;Almeria-2;Almeria-25;Almeria-24;Almeria-3;Almeria-4;Almeria-99;Almeria-15"
"At.Bilbao-1;At.Bilbao-8;At.Bilbao-22;At.Bilbao-15;At.Bilbao-17;At.Bilbao-31;At.Bilbao-6;At.Bilbao-10;At.Bilbao-11;At.Bilbao-9;At.Bilbao-12"
"Gol;Almeria-7;no"
"Gol;Almeria-7;no"
"Gol;Almeria-7;no"
"Gol;At.Bilbao-22;no"
"Gol;At.Bilbao-22;no"
"Autogol;Almeria-2;no"
"Amarilla;Almeria-7;no"
"TLibre;At.Bilbao-20;no"
"Roja;Almeria-8;no"
"Cambio;Almeria-23;Almeria-6"
